est cost,exec time
329855584.3256455,18869.305304995403
332588839.9257728,19063.85198978779
321345725.2257155,19199.069803120477
310818792.68043244,18638.985435869177
313035838.3015201,18706.568061490325
303517652.65312743,18115.689361085515
304229638.47231954,18368.566096472397
304999124.17537886,18543.085900006747
302890800.5785895,18480.85373884981
302925944.72842646,17690.143906964884
291146954.15628505,17351.298535320682
288901956.5329297,17255.61759800896
300558880.6891678,17595.15266383755
290449018.97077125,17918.6559410026
291726183.4030784,17802.722493111996
276429632.7286008,17582.847331862627
266429422.34115672,16976.31252273467
267108602.59011167,16956.439183246046
256828770.7508317,16434.484481806583
239947314.13608915,12166.845472196803
257294829.93730897,16391.224646949107
247760796.16104168,15895.974768923532
247760819.84967446,15676.055623164837
247856762.80569288,15721.193296066194
247856764.82210714,15688.082358300284
237024518.63688776,14929.78891292813
236928575.68086934,14989.011358503903
247760821.86608872,15864.187812942668
247725677.71625182,16060.025442666314
247725675.69983754,15908.110740310463
236349041.25865507,15284.984658751164
226955988.68805543,14953.924968968797
246937738.2458778,14938.030575010407
248286200.59976038,14705.373143181248
230938684.79854056,10523.090090123962
219984325.42329833,10245.37668856873
219984302.074501,9950.410651579145
220192517.75429824,10260.12859955312
237748229.50443593,13917.629178868845
247980155.39669588,13167.721999739733
258382075.00499186,15649.381371867032
269203827.9041202,16034.321505124859
267965938.54499605,15697.018501869672
267965916.15711337,15873.159932229704
257926791.97980246,15093.060288731254
246190324.27638334,14435.662891123458
241630793.95439076,14861.633025075495
241630804.82498062,15544.818036668614
241630782.53726822,15379.272470029782
230363445.79254833,14660.276872968107
229086281.3602412,14674.188868966605
229086259.07252884,14197.86590906136
228669879.28996268,14399.102399471878
229629716.61116913,13933.22746431427
229629738.16503838,13919.465253152543
228860252.46197903,13849.972526668062
239034255.50738543,14481.446340198447
249126482.12259868,14701.509959127334
250086214.99860936,13643.842770124178
236813058.00711933,11485.861178147707
226539542.26450205,10964.380847088485
225170526.5677217,11597.22436810325
240001040.3434344,11404.641171889014
252161930.0704095,10525.297273737453
242768877.49980986,11491.666648869823
242768854.45498887,11514.378197754093
254636820.05952388,10622.72895698057
242858037.55101198,10436.958118710127
242858059.9388947,10210.65300534138
244098136.35487553,11579.042343265228
228801585.680398,10983.053084911015
230150046.51953992,10012.019924011835
229227297.21465966,11023.307369588267
219739591.32387784,9646.31569669154
204604239.77068484,9496.85835413098
191672418.7120438,8785.862573887322
181227696.46772203,8722.616110282623
182294846.67392787,8548.379699040104
195478123.1351273,10098.269744895057
182819040.33408523,9795.237338710856
192006930.28362817,9061.27188941311
181090734.99369752,9863.09958457277
181090757.7634321,9810.913919349387
184238347.78786683,7777.381138013859
183235573.17616674,7675.6710810489285
173136473.1891697,6904.719820147984
173905958.89222908,7366.9409679204155
172946226.01621833,7545.956383008972
172061013.81879762,6863.296656179953
171381833.56984273,6926.680261217978
171381810.80010816,6911.73025998449
172304560.10498837,7462.524083090827
173264292.9809991,6784.7222558093445
162231316.87931284,6974.022016849984
163016641.04108164,6733.936485132277
170385388.7305158,7424.605066026088
169473018.40627235,6466.836305701021
168703532.70321304,6594.531122248444
178976966.7394501,7745.812074181631
162522821.4644504,6650.647407789707
173565342.83924353,7625.971007812072
185141147.12662068,7966.752714847133
191132953.8659268,8557.34768667045
191809333.05217534,7063.547353812833
191809358.50981274,8508.49514607435
191905301.4658311,7308.343612134389
190945568.58982038,8707.23687226516
180815998.91807172,6888.574516938336
169802945.32355595,8147.327462016624
170270143.57987973,6772.843289814226
181083352.3638347,8283.60340119436
181083328.90619734,8437.961320299673
176200863.86683875,8535.537615958761
175278114.56195852,8582.493584197622
171912023.92124066,7031.132575130198
171911999.7665412,7857.605949074395
171816056.81052282,7085.737543266981
172577117.05976546,6964.422858028248
172577141.21446493,7122.4644489167185
166821938.91978484,8020.9375898866465
166821915.23115206,7126.344203833055
166821889.7735147,7138.753088118329
166857033.9233516,7216.045798961814
167756412.90441492,7297.525682023574
166857040.26758587,6947.5171268784
153380826.05053356,6508.196224579804
152103661.61822647,6457.86047227287
152103687.07586384,6444.64363229914
151106536.87699857,6362.549061164897
151314343.71009377,6351.801785352684
151522527.54374206,6381.985606813956
161714556.75128412,6763.303915102422
150765258.5943613,6536.498480874356
140573162.09315917,6322.607763362002
151083299.96024913,6580.531792091385
172395095.52703255,7209.762792153865
161884957.65994263,6766.557898384377
173065717.0356957,7196.23038972798
173065690.5170272,7328.080961986359
176121758.052029,7226.670478151437
164517236.6123087,6999.922220957894
163718706.09960786,6774.717132164102
153480172.04316464,6611.588401944243
153480149.52438855,6582.64976905464
132168353.95760511,5908.511269352682
133128086.83361584,5694.6554770497305
144623987.49395883,6024.21475604783
139616381.41302374,6001.139476560973
139616394.0000713,6023.974265233446
140385879.70313063,6152.243559142511
154085425.0398868,6627.1981569968575
164053544.19089895,6748.889973754152
164081463.4752338,6643.498061959658
155193726.6067258,6387.859605870537
176237429.5296309,7171.29204503316
176505509.58646172,7104.882353589289
175481172.05388135,6977.256398394697
175481194.34159374,7001.929459968317
175446050.1917568,7065.3635510134245
165912016.41548955,6736.590138827514
176228422.41526917,7112.4785088709405
176228445.18500373,7146.889762088477
175960365.1281729,7051.103308659725
175960394.8167647,7063.100634663041
175723073.57437077,7009.3253091605975
183860841.4805042,7018.252902952939
184712430.37067002,7082.828646275819
184712407.60093546,6965.981891794491
184712430.11971155,7059.751528948773
173785908.5956765,6750.02019493448
172826175.71966577,6738.132204447039
163051811.20573705,6457.894985112582
163051833.97547162,6462.625282773495
164011671.29667813,6476.943689050704
150228040.9092386,6081.447070863012
150577385.2829709,10702.708423369006
139200750.8417885,8674.063134087452
150618171.26964557,9048.409212863646
150714114.22566396,8737.031853065833
146697694.6813546,8011.3096652149225
146697672.39364225,9381.011994195696
161528186.16935495,8475.523096657984
161528096.50305387,8267.317789070588
162302560.97501054,10201.812603269305
162981741.22396547,9023.215849136102
176887477.234439,9242.663570929755
176887464.64739147,9288.891946228783
181587003.04859135,9053.922630239647
180627165.72738484,9433.625886450734
180627178.31443238,9602.788244437881
179614314.69679594,9125.700094064907
175386542.5515829,9960.039972410605
163765026.65941975,8764.732623139724
164724759.5354305,8077.5028762619495
164724781.82314286,9099.375688118416
154127236.8983697,7722.810324072592
154031293.94235128,8734.86865066544
142651688.24552915,7241.402843333427
158649848.05243394,7780.5405098681895
153204550.97096634,7774.766376576495
152525370.72201136,7680.964810081985
152525347.95227683,8752.217343039707
153408711.9628813,7926.614273530077
141298313.97635874,7285.034976015013
147066754.46123397,8144.592953819115
148104267.65695623,7498.4638219468
158684568.27898434,7712.729429139815
149595156.8252981,7421.400748695318
149595108.85610515,7426.705517829389
149595086.56839278,7226.019135231536
160223668.67016023,7852.857773926012
160278234.1812479,7796.244274583507
158912407.90547216,7731.843215090398
157487980.47907466,7828.776628193826
155721797.43769768,7948.078115829009
154952311.73463833,7601.076875109549
155488386.96103585,8010.0677550385035
155657019.62079766,7845.029190918219
154697286.74478692,8780.082226035871
162723809.57512572,9085.440513259824
149238207.32009014,8983.708755512189
150515371.75239727,9180.574517974339
151345370.0670497,9333.641249697443
164216393.8229546,9428.593691163484
174655095.05607438,10068.388678123001
173377930.62376726,10164.695504106234
173377953.97256455,10394.984383763633
183487841.4626201,10965.696573167332
170620788.23026386,10398.263816607576
170812575.09214216,10230.424124126028
171502378.83811125,10498.53492925867
171502404.52670306,10390.543948625847
172124249.59741113,10289.186204585556
173084086.9186176,10225.917900802784
165752876.69508275,10332.332062861416
165245556.43114305,10292.469584936589
178164271.46176678,10885.3544351471
176829117.7694515,11891.32612965801
188202450.65228114,12261.301115932785
188881630.90123612,10755.840204135657
188881608.38246003,12348.767778308078
189651094.08551934,10707.499492126599
188691256.76431286,10814.440909205972
188691286.45290467,10896.427005961448
201438958.58399355,10457.404484345845
200669472.8809342,10187.585586081344
202004626.57324952,10745.22595494391
212247234.14153677,11256.790115733642
213146608.96749488,10997.718492481577
222762804.2535921,11828.4699729281
232501270.24667624,12165.3901890582
231535616.29853994,12063.504496883526
230200462.60622463,13271.678093275134
231160195.48223537,11459.479315920364
231160172.13343808,12910.991798971314
231160261.79973915,11874.009874690175
221359016.9563675,12337.519128999278
220734443.36341238,9946.400789912139
208096399.80029735,11467.407643891846
209062053.74843362,10112.550033079702
198721435.49255365,9673.227611971464
183890921.71684098,9315.431029589332
183890934.3038885,10573.134726663657
185168098.73619565,10520.583282598242
167820582.9349758,8448.386401176851
167019220.36209404,8536.964439869374
167019231.2326839,8434.995675156493
155845060.68964186,8227.045385700054
156548411.20822567,8090.446737139765
173429890.11068064,10231.286877839006
173429866.42204785,10237.478072943304
172726516.14664805,10343.845899026259
171636601.8849673,10140.728357172802
171671746.03480425,10207.59619509931
161178052.85625136,9753.895904974503
161178077.37493524,9812.679023993407
176466349.35596362,9579.06879408494
175796674.80216065,9583.162696138426
175796663.93157083,9480.806200616762
178452628.1679306,7366.228027959731
176036028.6802383,7265.236674284644
177815883.58917677,7253.208191367824
177815906.93797407,7251.768057204015
177815932.39561144,12811.306109867304
176538767.9633043,7283.968775349122
174758913.05436587,7401.769433082871
174758865.08517295,7302.657049883567
174758775.41887185,7386.638313071012
172102811.18251207,9353.729301975578
172198754.13853043,9495.067614241798
173978609.29065287,9384.987827478148
174394988.67725706,9409.088705345484
174394999.5478469,9485.685142143853
386721993.8862055,36628.691822145396
423085882.02985924,37682.60805381289
434626855.72498244,37460.883504218844
438475255.4847679,37547.70368993867
489231184.70177364,38871.03083305886
488095795.1939105,38634.82050409152
487924733.3605828,38818.79060075123
487732764.3439986,38976.36433687663
450122662.63641024,38156.757964146505
450740264.9552519,38150.47231615593
455054562.6127259,38307.040567764074
402711726.16288316,37530.161174145054
399446438.41464895,37058.4518609449
401376083.4328735,37299.6845039838
401296177.04095227,37632.405116980706
396723128.6496597,37537.23481194484
398348548.4858499,37545.95334702555
398269101.8233356,37506.58294592054
401905541.43307865,37560.48576182394
399878277.02236366,37844.079372004206
404561339.08598876,37567.74875498227
402633582.1301953,37581.17578874555
410330050.5987078,37663.94935502448
410248818.3945787,37824.82215502163
410016258.42086774,37857.678853075064
426214037.7432633,38090.768773056836
426295269.9473924,38017.13605803677
410097490.62499684,37742.21263686785
409479888.30615515,37699.78609705644
409712448.27986616,37597.314999123846
478995323.96083796,38616.26457705496
497442725.6209388,39608.50170607163
949639746.5701531,49325.03748394114
989061431.4743296,50191.371884031614
984378369.4107041,49977.354876155725
985317428.9244944,50414.847315103696
980346888.9855839,50687.99216305603
981194653.903624,50350.96274012406
985187898.5344921,50293.672616969736
982186882.341311,50194.67257786164
983036216.5110837,49986.30725609602
976305414.6239885,50215.907690056105
959808556.9938333,49762.95001898056
961785880.7468352,49935.152069920005
964013718.7975155,49780.42605694938
976888787.6237283,52250.97104526483
614929121.4526716,43970.40695597346
621194432.1306006,44268.6894542008
628078176.1636679,43645.78386115357
711642659.3071393,44663.32796694604
711722565.6990606,44842.220704144
709259969.9484382,44821.42849403825
708120854.6889507,44633.72089504934
708040948.3126019,44724.471662055126
707872234.8952787,44495.90735896301
708062075.0111184,44569.398087309906
